Pos,Com,MSE,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,mse_1
0,4,2,0,0,0,0,0,0,7.212157,0.67236584,0,0,0,0,0,0,4.483243,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5362823,0,0,0,5.6662517,5.586247,0.6652296,0,0,0,3.9443595,0,0,0,0,0,5.160456,0,0,0,0,0,0,0.38034853,0,0,2.0950599,0,0,0,0,0,0,0,3.4418235,9.418483,14.497378,7.7377715,1.3201091,0,0,0,0,0,0,6.1344504,5.665761,2.2329998,12.547481,7.100921,0,0,0,0,0,0,9.104905,10.973975,15.770013,14.166955,2.2846682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.434567,0.84833896,0,0,0.92938393,0,0,0,0,0,0.59638005,7.8683867,0,0.4107266,7.7220664,0,0,0,0,5.632091,10.075957,5.6081014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222483,0.19677228,1.5312715,0,0,1110.946725
0,4,2,0,0,0,0,0,0,4.174916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9714558,0,0,0,0,0,0,0,8.00615,4.1349688,4.807398,1.4064784,0,0,0,0,0,0,2.9398534,3.768261,0,0,0,0,0,6.800627,0,0,0,0,0,0,0,0,0,0,0,8.958285,7.0370593,8.556119,7.501473,0,0,0,0,0,0,0,2.1903915,0,0,0,0,0,0,0,0,4.3137946,6.6370034,0,0,0,0,0,0,0,0,0,0,0,0,4.566969,0,0,0,0,0,0.6818621,0,0,0,0,0.69952554,2.3080003,0,0,0.59006625,8.983852,5.9041033,0,4.7625103,9.229661,3.182333,3.6534028,0,0,0,5.3134007,15.076678,17.339535,20.38442,11.776792,0,2.89204,0,0,0,4.4604397,20.410187,0,0,0,0,0.87921816,0,0,0,0,26.45084,17.419153,0,0,0,0,0,0,4.3792233,4.8816924,13.180762,0,0,1.9963334,0,0,1112.894331
0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2574904,0,0,0,0,0,0,0,0,0,5.3144374,0.95399135,0,0,0,0,0,0,0,0,0.38626045,3.7989347,0.78430575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4656556,0,0,0,0,0,0,0,0,2.1200976,18.177185,15.429617,5.525125,0,0,0,0,0,0,3.5726612,6.99958,6.966171,9.094852,2.5445726,0,0,0,0,0,11.949295,23.179205,12.830201,12.974706,10.799632,0,0.34755775,0,0,0,5.1743426,3.8307557,0,0,0,0,0,0,0,0,6.923488,7.5714717,4.371629,0,0,0,0,0,0,4.0574894,22.713768,15.179653,3.0014617,0,0,0,0,0,0,2.4968243,15.088145,28.203867,13.316051,3.8140242,0,0,0,0,0,0,0,4.7685633,0,0,0,0,0,0,0,0,0.4447679,0,0,1.6324344,0,0,0,0,0,0,0,0,0,0,0,0,0,1122.627088
0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7099352,4.341567,0,0,0,0,0,1.0366025,0,0,0,0,10.689122,1.7754178,0,0,0.80570453,3.7584846,6.4887977,7.7461104,3.2009802,0.04873258,0.70074654,0,0,0,0.20142663,6.6537566,6.957172,7.3536325,6.8400035,1.4152412,0,0,0,0,0,0,0,0,4.9996552,0.8130401,0,0,0,0,2.1846104,4.5335965,1.5952363,2.4538057,9.38591,5.0366135,0,0,0,0,0,10.474937,11.0266905,11.773114,20.247185,12.597302,2.0814984,0.4427765,0.7775455,0,0,4.610185,28.902332,39.129456,38.367657,37.518753,10.141784,6.997189,0.34997848,0,0,3.1111352,1.1943045,0,0,0,0,0,0,0,0,3.0699935,17.852427,21.782524,16.813728,0,0,0,0,0,0,18.029287,31.471788,24.836143,14.397699,0,0,0,0.2789145,0,2.2311008,25.695385,52.771435,47.82245,14.674792,0,0,0,0,0,0,0,7.798735,0.38001293,0,0,0,0,0.97874063,0,0,0,3.4922225,6.442553,0,0,0,0,0,0,0,0,0,1.0432255,1.3488486,0,0,0,1075.774356
0,2,4,0,0,0,1.602685,0,0,0,0,0,0,0,2.3800442,0.76369154,0.96962076,0,0,2.732143,9.300932,0,0,0,0,0,0,0,0,10.633206,18.707249,9.303378,0.25083634,0,0,0,3.6492805,1.5966089,0,0.9293454,1.8688949,0,0,0,0,0,8.975561,4.7880135,2.7120678,11.607691,2.7820294,0,0,0,0,0,0,0,0,7.2274313,5.8138323,0,0,0,0,0,0,0,0,8.255963,7.384742,0,0,0,1.3742008,9.124993,15.222337,8.154546,18.053383,18.728756,17.729834,0,0,0,0,0,29.208755,38.11863,20.15041,27.720554,33.544907,1.1035858,0,0,0,0,8.776882,11.693877,0,0.5181172,7.5409455,0,0,0,0,0,16.924002,21.157286,12.870893,7.231982,0,0,0.70527714,0,0,0,20.442457,29.28471,32.274612,19.673265,0,0,0,0,0,0.75421745,15.511184,16.41121,16.310211,17.870995,5.606642,0,0,0,0,0,0,0,0,2.8552878,2.294116,0,0,0,0,0,0,11.557151,0,0,4.5792923,0,0,0,0,0,0.5508498,6.3578606,0,0,5.9410596,5.221354,0.8556581,1291.065455
0,2,5,0,0,0,0,1.0660235,0,0,0,0,0,0,0,0,0,0.75501984,4.8314366,10.017967,12.288106,0,0,0,0,0,2.4141343,12.644116,0,11.345637,26.654026,11.645865,0,0,0,0,4.8652015,6.033963,0,0.8211958,13.277669,7.3393364,0,0,0,0.46622044,11.9007635,6.6324577,3.1022854,16.892536,7.226589,0,0,0,0,0,0,0,0,11.314094,3.801745,0,0,0,0,0,0,0,0,9.869944,6.2850313,0,0,4.139944,7.679203,10.519412,12.669131,7.6148815,9.634178,19.793259,13.858941,0,0,0,0.13722564,0.7211328,20.444084,23.462502,0.1798846,18.295883,32.94192,5.973806,0,0,0,0,10.364554,8.407784,0,0,6.504027,0,0,0,0,0,25.359783,24.093977,4.0000067,0.8426184,0,0,1.242798,0,0,6.6628895,18.198473,19.15633,12.509146,8.290105,0,0,0,0,0,0,11.390931,9.934587,10.319752,8.638887,0,0,0,0,0,0,0,0,0,10.264064,6.838545,0,0,0,0,0,0,0,1.7574675,24.115345,8.786092,0,0,0,0,0,1.1716933,0,0,1.6423184,0,0,0,1394.763008
0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53696,5.6657844,0,0,6.9311385,0,0,0,0,0,0,7.323637,4.3319135,0,0,0,0,0,6.0005918,0,0,0,0,0,0,0,0,0,0,0.5829831,7.325913,11.151885,6.7582026,0.2536851,0,0,0,0,0,0,9.712668,9.1672325,5.958237,5.924745,3.1358907,0,0,0,0,0,6.9250283,12.08669,8.011876,10.69407,8.5779505,2.4429793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1389608,5.9254174,1.2957392,0,0,0,0,0,0,0,1.3938813,1.7608745,5.8449473,0.9036849,0,4.0277514,6.9245906,0,0,8.187337,11.759789,0,2.5215805,9.423074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0067484,9.973096,0,0,0,0,0,1122.944288
0,2,5,0,0,0,10.564427,11.574078,0,0,0,0,0,0,0,0,0,0,0,1.8850414,4.0655828,0,0,0,0,0,6.9836097,11.326756,0,11.840646,17.124504,8.408547,0,0,0,0,4.9162693,10.59838,0,0,0,0,0,0,0,0,0,0,6.880849,9.812486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4888852,0,0,0,0,0,0,8.297215,9.040727,14.482861,11.758986,3.037449,0,0,0,0,0,14.631433,28.541643,6.1877375,7.505619,11.29196,0,0,0,0,0,5.1195464,11.871121,0,0,0,0,0,0,0,0,15.63124,10.575141,9.1392565,8.740715,0,0,0,1.4146742,0.79527676,0,10.839277,12.669916,20.332577,19.369883,3.4604127,0,0,0,5.6436195,7.3433237,7.3867307,19.762388,29.7106,28.189653,5.7920265,0,0,0,0,0,0,0,0,5.865364,1.0548594,0,0,0,0,0,0,0,0,0.57510906,1.4576718,0,0,0.49139082,0,0,1.5709955,3.5819988,0,0,2.23481,2.1746771,0,1391.337254
0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.059368,0,0,0,0,0,0,0,4.099849,4.3613296,0,0,4.7523036,1.4812479,0,0,0,0,0,0,0,1.1293001,0,2.4651048,1.3564222,2.4581597,0,0,0,0.34482804,0,0,0,0,0.19437325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.074938,0,0,0,0,0,3.4495585,14.986801,6.3681307,7.0622783,9.613877,1.4808183,0,0,2.3189085,13.392971,7.9540963,13.25644,23.004524,31.201214,28.856182,22.095095,5.291748,0,0,0,0,0,1.3423889,0,0,0,0,0,0,0,0,0,14.627295,17.7286,0,0,0,0,0.4093439,1.5206127,2.8957498,10.466423,19.773338,18.465084,12.843486,0,0,0,0,0,13.519191,26.014193,36.909615,33.67427,17.696396,6.2075934,0,0,0,0,0,0,0.90839434,4.204851,0,0,0,0,0,0,0,0,0,1.3354502,0,0,0,0,0,0,0,0,0,2.327742,0,0,0,0,1061.328315
0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4870334,0,0,0,0,0,0,0,0,0,0,0,11.739129,2.5495842,0,0,0,0,2.8631794,0,0,0,0.2735486,8.770488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1153746,0,0,0,0,0,0.098869026,8.517444,5.187543,3.1543238,7.592535,1.0738502,0,0,0,0,0.021390952,8.585364,9.510119,9.678052,14.341546,10.952044,0,0,0,0,0,0,2.302631,0.12450358,0,0,0.99330086,0,0,0,0,0,3.740246,0,0,0,3.1929357,7.4565353,0,0,0,3.0149307,0.7642436,0,0.11564666,0,5.7457614,11.077719,0,0,0,0,0,0,0,0,0.035384834,0,0,0,0,0,0,0,0,0,0,0,1.4973624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17259671,0,0,1133.449489
